,State,County,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployed Citizens,Men in Law-Enforcement,Women in Law-Enforcement,Law-Enforcement per 1000,Unemployment Rate (%)
0,ARKANSAS,CARROLL,27690,44.4,38145,20888,4789,17.29505237,739,91,4,3.430841459,2.668833514
1,ARKANSAS,CHICOT,11189,43.7,29628,18853,3252,29.06425954,446,131,17,13.22727679,3.986057735
2,ARKANSAS,CLARK,22684,33.6,35595,19500,4762,20.99277023,858,94,12,4.672897196,3.782401693
3,ARKANSAS,CLAY,15202,44,32404,19192,3340,21.97079332,474,76,0,4.999342192,3.118010788
4,ARKANSAS,CLEBURNE,25587,47.9,41717,25078,3901,15.24602337,903,98,9,4.181811076,3.529135889
5,ARKANSAS,CLEVELAND,8421,42.5,42429,21485,1671,19.84324902,317,32,45,9.143807149,3.764398527
6,ARKANSAS,COLUMBIA,24168,36,36507,19922,5581,23.09251903,1044,62,1,2.606752731,4.319761668
7,ARKANSAS,CONWAY,21060,41,38266,21896,4482,21.28205128,650,86,24,5.22317189,3.086419753
8,ARKANSAS,CRAIGHEAD,102884,33.9,43892,24226,18682,18.15831422,3182,160,6,1.613467595,3.092803546
9,ARKANSAS,CRAWFORD,61927,38.8,41792,20889,11491,18.55571883,1940,210,20,3.714050414,3.132720784
10,ARKANSAS,CRITTENDEN,49511,34.7,39407,20133,11991,24.21886046,2048,225,49,5.53412373,4.136454525
11,ARKANSAS,CROSS,17329,40.3,39306,20692,3364,19.41254544,573,217,21,13.73420278,3.30659588
12,ARKANSAS,DALLAS,7738,43.4,35745,17803,1054,13.62109072,227,66,35,13.05246834,2.933574567
13,ARKANSAS,DESHA,12234,39.3,26519,17324,3859,31.54324015,651,117,2,9.726990355,5.3212359
14,ARKANSAS,DREW,18688,36.8,33092,18373,4851,25.9578339,1096,205,15,11.77226027,5.864726027
15,ARKANSAS,FAULKNER,120417,31.9,50872,24809,18590,15.43801955,3538,327,63,3.23874536,2.938123355
16,ARKANSAS,FRANKLIN,17799,41,39482,19811,3684,20.69779201,638,61,51,6.292488342,3.584471038
17,ARKANSAS,FULTON,12186,48.2,35593,19082,2769,22.72279665,340,34,0,2.790086985,2.790086985
18,ARKANSAS,GARLAND,97119,44.1,40011,24602,19639,20.22158383,4007,357,30,3.98480215,4.125866205
19,ARKANSAS,GRANT,18046,39.3,49195,24696,2318,12.84495179,666,48,62,6.095533636,3.690568547
20,ARKANSAS,GREENE,43745,38.2,42755,21643,7621,17.42141959,1625,71,25,2.194536518,3.714710253
21,ARKANSAS,HEMPSTEAD,22208,38.5,34072,17813,5861,26.39139049,783,41,6,2.116354467,3.525756484
22,ARKANSAS,HOT SPRING,33440,40.9,42589,20522,5347,15.98983254,988,153,16,5.053827751,2.954545455
23,ARKANSAS,HOWARD,13487,38.6,34672,22587,2605,19.31489583,439,34,8,3.114109884,3.254986283
24,ARKANSAS,INDEPENDENCE,37030,39.2,37592,22035,6891,18.60923575,1127,97,56,4.131785039,3.043478261
25,ARKANSAS,IZARD,13461,48.1,35188,18964,2775,20.61511032,488,49,15,4.754475893,3.625287869
26,ARKANSAS,JACKSON,17495,40.8,31245,18316,3866,22.09774221,456,85,13,5.601600457,2.606458988
27,ARKANSAS,JEFFERSON,72385,38.7,36377,19691,16959,23.4288872,2937,487,260,10.31981764,4.05747047
28,ARKANSAS,JOHNSON,26025,38,34031,18871,5418,20.8184438,632,110,3,4.341978866,2.428434198
29,ARKANSAS,LAFAYETTE,7127,45.3,29882,24171,1830,25.67700295,315,19,19,5.331836677,4.419811983
30,ARKANSAS,LAWRENCE,16915,41.8,33381,18010,3840,22.70174401,580,80,36,6.857818504,3.428909252
31,ARKANSAS,LEE,9781,40.9,25724,14292,2447,25.01789183,548,29,5,3.476127185,5.602699111
32,ARKANSAS,LINCOLN,13935,37.6,32369,12610,2158,15.48618586,431,49,47,6.889128095,3.092931468
33,ARKANSAS,LITTLE RIVER,12616,41.6,35396,20237,2384,18.89663919,452,50,17,5.31071655,3.582752061
34,ARKANSAS,LOGAN,21935,42.8,36463,20340,4071,18.55937999,748,58,0,2.644175974,3.410075222
35,ARKANSAS,LONOKE,71279,35.8,56156,24501,8535,11.97407371,1932,290,75,5.120722794,2.710475736
36,ARKANSAS,MADISON,15761,42.3,39839,22637,2823,17.91130004,363,90,0,5.71029757,2.303153353
37,ARKANSAS,MARION,16404,51.5,33726,18706,3220,19.62935869,609,35,7,2.560351134,3.712509144
38,ARKANSAS,MILLER,43666,37.6,39955,21217,8749,20.03618376,1753,156,113,6.160399395,4.014565108
