,County,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployed Citizens,Men in Law-Enforcement,Women in Law-Enforcement,Law-Enforcement per 1000,Unemployment Rate (%)
0,Carroll,Arkansas,27690.0,44.4,38145.0,20888.0,4789.0,17.295052365474902,739.0,91.0,4.0,3.430841459010473,2.6688335139039365
1,Chicot,Arkansas,11189.0,43.7,29628.0,18853.0,3252.0,29.064259540620252,446.0,131.0,17.0,13.227276789704174,3.9860577352757174
2,Clark,Arkansas,22684.0,33.6,35595.0,19500.0,4762.0,20.99277023452654,858.0,94.0,12.0,4.672897196261682,3.7824016928231354
3,Clay,Arkansas,15202.0,44.0,32404.0,19192.0,3340.0,21.97079331666886,474.0,76.0,0.0,4.999342191816867,3.118010788054203
4,Cleburne,Arkansas,25587.0,47.9,41717.0,25078.0,3901.0,15.24602337124321,903.0,98.0,9.0,4.1818110759369995,3.5291358893187947
5,Cleveland,Arkansas,8421.0,42.5,42429.0,21485.0,1671.0,19.843249020306377,317.0,32.0,45.0,9.14380714879468,3.7643985274907967
6,Columbia,Arkansas,24168.0,36.0,36507.0,19922.0,5581.0,23.092519033432637,1044.0,62.0,1.0,2.6067527308838137,4.319761668321748
7,Conway,Arkansas,21060.0,41.0,38266.0,21896.0,4482.0,21.28205128205128,650.0,86.0,24.0,5.223171889838556,3.0864197530864197
8,Craighead,Arkansas,102884.0,33.9,43892.0,24226.0,18682.0,18.1583142179542,3182.0,160.0,6.0,1.6134675945725283,3.0928035457408343
9,Crawford,Arkansas,61927.0,38.8,41792.0,20889.0,11491.0,18.555718830235598,1940.0,210.0,20.0,3.714050414197361,3.132720784149079
10,Crittenden,Arkansas,49511.0,34.7,39407.0,20133.0,11991.0,24.21886045525237,2048.0,225.0,49.0,5.534123730080184,4.1364545252570135
11,Cross,Arkansas,17329.0,40.3,39306.0,20692.0,3364.0,19.412545444053322,573.0,217.0,21.0,13.734202781464598,3.3065958797391652
12,Dallas,Arkansas,7738.0,43.4,35745.0,17803.0,1054.0,13.621090721116568,227.0,66.0,35.0,13.052468338071852,2.9335745670715947
13,Desha,Arkansas,12234.0,39.3,26519.0,17324.0,3859.0,31.543240150400525,651.0,117.0,2.0,9.72699035474906,5.321235899950957
14,Drew,Arkansas,18688.0,36.8,33092.0,18373.0,4851.0,25.957833904109588,1096.0,205.0,15.0,11.772260273972602,5.864726027397261
15,Faulkner,Arkansas,120417.0,31.9,50872.0,24809.0,18590.0,15.438019548734813,3538.0,327.0,63.0,3.2387453598744362,2.9381233546758345
