STATENAME,COUNTYNAME,ADDRESS_CITY,actual,cleared
ALABAMA,BLOUNT,BLOUNTSVILLE,153,10
ALABAMA,BLOUNT,CLEVELAND,8,0
ALABAMA,BLOUNT,ONEONTA,3000,561
ALABAMA,BLOUNT,SNEAD,149,26
ALABAMA,BUTLER,GEORGIANA,129,24
ALABAMA,BUTLER,GREENVILLE,1218,505
ALABAMA,BUTLER,MCKENZIE,2,0
ALABAMA,CHILTON,CLANTON,2638,602
ALABAMA,CHILTON,JEMISON,212,36
ALABAMA,CHILTON,MAPLESVILLE,65,4
ALABAMA,CHILTON,THORSBY,31,6
ALABAMA,COVINGTON,ANDALUSIA,1464,690
ALABAMA,COVINGTON,FLORALA,48,8
ALABAMA,COVINGTON,GANTT,14,4
ALABAMA,COVINGTON,LOCKHART,21,8
ALABAMA,COVINGTON,OPP,319,162
ALABAMA,COVINGTON,RED LEVEL,4,2
ALABAMA,COVINGTON,RIVER FALLS,2,0
ALABAMA,CRENSHAW,BRANTLEY,20,2
ALABAMA,CRENSHAW,DOZIER,0,0
ALABAMA,CRENSHAW,LUVERNE,346,48
ALABAMA,ETOWAH,ALTOONA,0,0
ALABAMA,ETOWAH,ATTALLA,283,24
ALABAMA,ETOWAH,GADSDEN,7213,730
ALABAMA,ETOWAH,GLENCOE,194,2
ALABAMA,ETOWAH,HOKES BLUFF,114,50
ALABAMA,ETOWAH,RAINBOW CITY,460,168
ALABAMA,ETOWAH,SARDIS CITY,109,33
ALABAMA,ETOWAH,SOUTHSIDE,258,24
ALABAMA,ETOWAH,WALNUT GROVE,0,0
ALABAMA,HENRY,ABBEVILLE,326,72
ALABAMA,HENRY,HEADLAND,213,32
ALABAMA,HENRY,NEWVILLE,2,0
ALABAMA,JEFFERSON,ADAMSVILLE,541,300
ALABAMA,JEFFERSON,BESSEMER,6357,77
ALABAMA,JEFFERSON,BIRMINGHAM,39458,4988
ALABAMA,JEFFERSON,BRIGHTON,38,0
ALABAMA,JEFFERSON,BROOKSIDE,10,0
ALABAMA,JEFFERSON,FAIRFIELD,1138,91
ALABAMA,JEFFERSON,FULTONDALE,930,189
ALABAMA,JEFFERSON,GARDENDALE,1081,442
ALABAMA,JEFFERSON,HOMEWOOD,2119,186
ALABAMA,JEFFERSON,HOOVER,2534,525
ALABAMA,JEFFERSON,HUEYTOWN,1224,283
ALABAMA,JEFFERSON,IRONDALE,818,523
ALABAMA,JEFFERSON,KIMBERLY,50,8
ALABAMA,JEFFERSON,LEEDS,1276,237
ALABAMA,JEFFERSON,LIPSCOMB,82,24
ALABAMA,JEFFERSON,MCCALLA,0,0
ALABAMA,JEFFERSON,MIDFIELD,724,64
ALABAMA,JEFFERSON,MORRIS,48,2
ALABAMA,JEFFERSON,MOUNTAIN BROOK,607,187
ALABAMA,JEFFERSON,PLEASANT GROVE,453,20
ALABAMA,JEFFERSON,TARRANT,1001,308
ALABAMA,JEFFERSON,TRAFFORD,18,0
ALABAMA,JEFFERSON,TRUSSVILLE,6,0
ALABAMA,JEFFERSON,VESTAVIA HILLS,844,640
ALABAMA,JEFFERSON,WARRIOR,140,39
ALABAMA,LAWRENCE,COURTLAND,2,0
ALABAMA,LAWRENCE,HILLSBORO,0,0
ALABAMA,LAWRENCE,MOULTON,920,164
ALABAMA,LAWRENCE,TOWN CREEK,55,25
ALABAMA,MACON,NOTASULGA,66,24
ALABAMA,MACON,SHORTER,0,0
ALABAMA,MACON,TUSKEGEE,1161,40
ALABAMA,MACON,TUSKEGEE INSTITUTE,178,0
ALABAMA,RANDOLPH,ROANOKE,430,92
ALABAMA,RANDOLPH,WADLEY,10,0
ALABAMA,RANDOLPH,WEDOWEE,502,78
ALABAMA,SUMTER,CUBA,2,0
ALABAMA,SUMTER,LIVINGSTON,221,26
ALABAMA,SUMTER,YORK,34,0
ALASKA,WRANGELL CITY AND BOROUGH,WRANGELL,42,12
ARIZONA,MARICOPA,AVONDALE,6998,1023
