,Unnamed: 0_x,County,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployed Citizens,Unnamed: 0_y,Female Civilians,Female Officers,Male Civilians,Male Officers,Crime Cleared Count aggravated-assault,Crime Cleared Count arson,Crime Cleared Count burglary,Crime Cleared Count homicide,Crime Cleared Count human-trafficing,Crime Cleared Count larceny,Crime Cleared Count motor-vehicle-theft,Crime Cleared Count property-crime,Crime Cleared Count rape,Crime Cleared Count rape-legacy,Crime Cleared Count robbery,Crime Cleared Count violent-crime,Total Crime Count aggravated-assault,Total Crime Count arson,Total Crime Count burglary,Total Crime Count homicide,Total Crime Count human-trafficing,Total Crime Count larceny,Total Crime Count motor-vehicle-theft,Total Crime Count property-crime,Total Crime Count rape,Total Crime Count rape-legacy,Total Crime Count robbery,Total Crime Count violent-crime,Total Cleared,Total Crime,Total Clear Rate,Total Female Workforce,Total Male Workforce,Total Workforce,Total Officers,Overal Crime Rate,Overal Clear Rate,Workforce 2 Pop,Leo 2 Pop
0,1831,STRAFFORD,NEW HAMPSHIRE,125913.0,37.1,63533.0,30598.0,11875.0,9.431115135053568,3953.0,294,46.0,24.0,16.0,187.0,82,0,50,1,0,472,16,538,4,0,18,105,151,17,309,2,0,1802,85,2196,66,0,31,250,1286,4909,0.26196781421878185,70.0,203.0,273.0,211.0,0.038987237219349866,0.010213401316782222,0.0021681637321007362,0.0016757602471547815
1,1913,MADISON,NEW YORK,72089.0,41.1,55858.0,26824.0,7932.0,11.003065654954293,1700.0,312,20.0,12.0,6.0,108.0,37,1,34,1,0,319,18,371,30,0,8,76,61,5,143,1,0,914,35,1092,59,0,11,132,895,2453,0.364859355890746,32.0,114.0,146.0,120.0,0.034027382818460516,0.012415208977791341,0.002025274313695571,0.0016646090249552636
2,2297,TILLAMOOK,OREGON,25552.0,48.1,43777.0,23688.0,3821.0,14.953819661866,789.0,393,14.0,10.0,16.0,48.0,17,5,24,0,0,61,12,97,1,0,1,19,18,4,109,0,0,273,46,428,2,0,1,21,237,902,0.2627494456762749,24.0,64.0,88.0,58.0,0.03530056355666875,0.009275203506574828,0.0034439574201628053,0.0022698810269254853
3,32,LINCOLN,ARKANSAS,13935.0,37.6,32369.0,12610.0,2158.0,15.486185862935054,431.0,21,8.0,0.0,5.0,14.0,9,0,3,0,0,9,1,13,0,0,0,9,21,0,47,0,0,91,15,153,4,0,0,25,44,356,0.12359550561797752,8.0,19.0,27.0,14.0,0.02554718335127377,0.0031575170434158593,0.00193756727664155,0.001004664513814137
4,1427,NICOLLET,MINNESOTA,33226.0,35.8,61501.0,28089.0,3655.0,11.000421356768797,662.0,223,19.0,2.0,14.0,39.0,13,2,37,0,0,155,5,197,1,0,1,15,15,4,71,0,0,286,11,368,3,0,2,20,426,780,0.5461538461538461,21.0,53.0,74.0,41.0,0.023475591404321917,0.012821284536206585,0.0022271714922048997,0.0012339733943297418
5,1579,DUNKLIN,MISSOURI,31271.0,39.6,31220.0,18203.0,8355.0,26.718045473441855,985.0,257,10.0,6.0,8.0,60.0,72,1,64,6,0,214,16,294,3,0,8,89,113,3,273,7,0,650,45,968,15,0,28,163,767,2265,0.3386313465783665,16.0,68.0,84.0,66.0,0.07243132614882798,0.024527517508234467,0.002686194877042627,0.0021105816891049214
6,1665,CUSTER,MONTANA,11980.0,40.7,50146.0,26742.0,1289.0,10.759599332220366,140.0,271,5.0,0.0,6.0,22.0,15,1,5,0,0,52,2,59,0,0,0,15,21,2,25,0,0,171,13,209,5,0,2,28,149,476,0.3130252100840336,5.0,28.0,33.0,22.0,0.03973288814691152,0.012437395659432388,0.0027545909849749583,0.0018363939899833056
7,165,MARICOPA,ARIZONA,4088549.0,35.8,55676.0,28791.0,666513.0,16.301944773072304,136703.0,13,3315.0,851.0,2820.0,7236.0,4583,113,1950,124,0,17907,1263,21120,345,0,1314,6366,11417,518,24197,238,0,89826,12909,126932,2048,0,5135,18838,55085,292058,0.18860979668422026,4166.0,10056.0,14222.0,8087.0,0.07143316614280519,0.013472994942704613,0.00347849567169184,0.001977963331245388
8,2352,NORTHAMPTON,PENNSYLVANIA,300520.0,41.9,62753.0,31086.0,26379.0,8.777785172367897,10501.0,404,24.0,23.0,4.0,489.0,544,4,96,3,0,1010,20,1126,28,0,49,624,699,24,579,7,0,3754,156,4489,59,0,122,887,3504,10776,0.32516703786191536,47.0,493.0,540.0,512.0,0.035857846399574074,0.011659789697857048,0.0017968853986423533,0.0017037135631571942
9,2451,HAND,SOUTH DAKOTA,3311.0,48.2,52266.0,33496.0,197.0,5.949864089398973,33.0,423,1.0,0.0,0.0,6.0,2,0,2,0,0,1,0,3,0,0,0,2,2,0,11,0,0,7,0,18,0,0,0,2,10,40,0.25,1.0,6.0,7.0,6.0,0.012080942313500454,0.0030202355783751134,0.0021141649048625794,0.001812141347025068
10,3057,COLUMBIA,WISCONSIN,56650.0,42.2,61004.0,29936.0,4729.0,8.3477493380406,1341.0,546,43.0,8.0,38.0,92.0,44,2,35,3,0,173,10,218,1,3,3,54,59,4,111,4,0,632,24,767,8,6,4,81,546,1700,0.3211764705882353,51.0,130.0,181.0,100.0,0.03000882612533098,0.009638128861429833,0.0031950573698146514,0.00176522506619594
11,2097,HANCOCK,TENNESSEE,6609.0,44.3,27973.0,16351.0,1757.0,26.58495990316236,320.0,434,9.0,0.0,13.0,13.0,0,0,3,0,0,13,6,22,0,0,0,0,2,1,19,0,0,92,19,130,1,0,0,3,44,267,0.1647940074906367,9.0,26.0,35.0,13.0,0.040399455288243305,0.0066575881373884096,0.005295808745649872,0.0019670146769556664
12,2841,CARBON,UTAH,20733.0,35.6,47793.0,21953.0,3128.0,15.087059277480344,742.0,496,13.0,2.0,16.0,56.0,6,1,24,0,0,192,5,221,0,0,1,7,16,3,94,0,0,408,8,510,7,0,3,26,457,1075,0.42511627906976746,15.0,72.0,87.0,58.0,0.05184970819466551,0.02204215501856943,0.004196208942265953,0.002797472628177302
13,1748,GARFIELD,NEBRASKA,1968.0,51.0,45227.0,24379.0,140.0,7.113821138211383,32.0,280,0.0,0.0,0.0,2.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,4,4,1.0,0.0,2.0,2.0,2.0,0.0020325203252032522,0.0020325203252032522,0.0010162601626016261,0.0010162601626016261
14,2311,BLAIR,PENNSYLVANIA,125917.0,43.1,44033.0,24466.0,18196.0,14.450789011809366,3519.0,394,18.0,14.0,4.0,140.0,174,5,46,0,0,478,26,550,41,0,23,238,180,16,238,1,0,1404,55,1697,40,0,46,267,1581,3944,0.4008620689655173,32.0,144.0,176.0,154.0,0.031322220192666596,0.012555889991025835,0.0013977461343583472,0.0012230278675635538
15,3042,WEBSTER,WEST VIRGINIA,8820.0,46.2,29982.0,18652.0,2383.0,27.018140589569157,366.0,543,1.0,0.0,2.0,17.0,44,0,5,0,0,12,2,19,1,0,0,45,43,0,12,0,0,21,6,39,0,0,0,43,128,164,0.7804878048780488,1.0,19.0,20.0,17.0,0.018594104308390022,0.014512471655328799,0.0022675736961451248,0.001927437641723356
16,2675,GREGG,TEXAS,123283.0,35.2,47140.0,24386.0,21785.0,17.670725079694687,3350.0,463,100.0,46.0,86.0,299.0,148,1,67,7,0,704,68,839,15,0,32,202,390,34,1001,17,0,3452,341,4794,79,0,135,621,2083,10864,0.19173416789396167,146.0,385.0,531.0,345.0,0.08812244997282674,0.016896084618317205,0.00430716319362767,0.002798439363091424
17,1060,BATH,KENTUCKY,12113.0,40.3,34986.0,19590.0,2931.0,24.197143564765128,476.0,170,2.0,0.0,0.0,9.0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,16,0,0,24,3,43,1,0,1,2,4,90,0.04444444444444445,2.0,9.0,11.0,9.0,0.007430033847931974,0.0003302237265747544,0.0009081152480805746,0.0007430033847931974
18,1991,HARNETT,NORTH CAROLINA,126620.0,33.7,47930.0,21214.0,22461.0,17.738903806665615,5261.0,336,58.0,13.0,48.0,189.0,135,11,216,3,0,388,46,650,0,16,36,190,206,23,875,6,0,1285,122,2282,0,17,43,272,1691,5131,0.32956538686415904,71.0,237.0,308.0,202.0,0.04052282419838888,0.013354920233770336,0.0024324751224135206,0.0015953245932712051
19,1924,OSWEGO,NEW YORK,120513.0,39.5,49571.0,24284.0,21100.0,17.508484561831505,5274.0,314,25.0,13.0,6.0,164.0,115,4,84,0,0,564,25,673,57,2,13,187,122,6,459,0,0,1516,70,2045,118,3,22,265,1724,4626,0.37267617812364895,38.0,170.0,208.0,177.0,0.03838590027631874,0.014305510608813988,0.0017259548762374184,0.0014687212167981878
20,105,MACON,ALABAMA,19684.0,38.2,32390.0,18385.0,4442.0,22.566551513919936,1344.0,9,34.0,5.0,20.0,41.0,9,0,4,1,0,15,2,21,1,0,0,11,114,9,195,6,0,319,46,560,11,0,7,138,64,1405,0.04555160142348755,39.0,61.0,100.0,46.0,0.0713777687461898,0.003251371672424304,0.005080268238162975,0.0023369233895549684
21,911,MADISON,IOWA,15661.0,40.9,60326.0,29430.0,1054.0,6.730093863737947,393.0,146,7.0,0.0,1.0,16.0,13,0,5,0,0,13,1,19,0,0,0,13,16,0,44,0,0,92,7,143,1,0,0,17,64,320,0.2,7.0,17.0,24.0,16.0,0.020432922546452972,0.004086584509290595,0.0015324691909839728,0.0010216461273226487
22,3100,ROCK,WISCONSIN,160986.0,39.1,50968.0,25884.0,23215.0,14.42050861565602,6124.0,550,77.0,28.0,61.0,278.0,168,2,120,3,0,983,54,1157,0,19,41,231,220,22,558,3,0,2885,127,3570,0,57,90,370,2778,7902,0.35155656795747914,105.0,339.0,444.0,306.0,0.0490850136036674,0.017256158920651486,0.0027580038015728075,0.0019007864037866647
23,1194,PEMISCOT,MISSOURI,17599.0,37.8,31671.0,17681.0,5036.0,28.61526223080857,809.0,264,15.0,2.0,11.0,50.0,58,6,21,1,0,94,14,129,0,0,12,71,133,8,182,1,0,391,40,613,6,0,19,159,406,1552,0.2615979381443299,17.0,61.0,78.0,52.0,0.08818682879709075,0.023069492584805954,0.004432070003977499,0.0029547133359849992
24,856,BENTON,IOWA,25720.0,41.8,61222.0,30888.0,2324.0,9.035769828926906,524.0,133,11.0,0.0,9.0,25.0,7,0,2,1,0,4,0,6,0,0,0,8,17,0,30,0,0,32,4,66,2,0,0,19,28,170,0.16470588235294115,11.0,34.0,45.0,25.0,0.006609642301710731,0.001088646967340591,0.001749611197511664,0.0009720062208398134
25,1876,ROOSEVELT,NEW MEXICO,19618.0,29.7,34933.0,18447.0,4755.0,24.237944744622286,955.0,307,6.0,2.0,4.0,42.0,0,0,5,0,0,9,2,16,0,2,1,3,34,0,295,2,0,202,21,518,0,14,5,55,38,1146,0.033158813263525315,8.0,46.0,54.0,44.0,0.05841574064634519,0.0019369966357426853,0.0027525741665817105,0.00224283820980732
26,2792,SHACKELFORD,TEXAS,3323.0,41.8,50285.0,24190.0,609.0,18.32681312067409,77.0,488,6.0,0.0,2.0,4.0,0,0,2,0,0,1,0,3,1,0,0,1,1,0,9,0,0,18,5,32,1,0,0,2,8,68,0.1176470588235294,6.0,6.0,12.0,4.0,0.02046343665362624,0.0024074631357207344,0.0036111947035811012,0.0012037315678603672
27,1280,BERKSHIRE,MASSACHUSETTS,128563.0,46.1,52253.0,31417.0,15136.0,11.773216244176009,5643.0,197,22.0,18.0,14.0,220.0,276,1,83,1,0,301,10,394,27,0,15,319,484,13,648,3,0,1423,68,2139,80,0,50,617,1427,5525,0.2582805429864253,40.0,234.0,274.0,238.0,0.04297503947481002,0.011099616530416995,0.0021312508264430667,0.0018512324696841238
28,1264,FREDERICK,MARYLAND,243465.0,39.2,85715.0,38280.0,16995.0,6.9804694719980285,7151.0,191,74.0,44.0,42.0,364.0,380,11,144,4,0,796,41,981,27,0,71,482,453,23,465,2,0,2585,118,3168,39,0,115,609,2937,7577,0.3876204302494391,118.0,406.0,524.0,408.0,0.031121516439734664,0.012063335592384943,0.0021522600784507013,0.0016758055572669583
29,1974,CUMBERLAND,NORTH CAROLINA,325841.0,31.5,44810.0,23148.0,55235.0,16.951519299290144,15560.0,329,341.0,144.0,165.0,693.0,802,25,487,36,0,2734,106,3327,0,59,248,1145,1319,80,2585,38,0,8822,506,11913,0,118,404,1879,8969,27664,0.324211972238288,485.0,858.0,1343.0,837.0,0.08490030413606636,0.027525695047584557,0.0041216421506194735,0.0025687375130815336
30,2707,JIM HOGG,TEXAS,5218.0,36.0,34769.0,16637.0,1088.0,20.850900728248373,349.0,470,6.0,0.0,12.0,18.0,2,0,4,0,0,5,0,9,0,0,0,2,2,0,4,0,0,5,0,9,0,0,0,2,22,22,1.0,6.0,30.0,36.0,18.0,0.004216174779609045,0.004216174779609045,0.006899195093905711,0.0034495975469528554
31,1708,TREASURE,MONTANA,846.0,48.9,42500.0,21255.0,162.0,19.148936170212764,0.0,276,0.0,1.0,0.0,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1.0,1.0,1.0,2.0,2.0,0.002364066193853428,0.002364066193853428,0.002364066193853428,0.002364066193853428
32,777,DUBOIS,INDIANA,42345.0,40.9,55154.0,27331.0,3545.0,8.371708584248436,649.0,114,3.0,0.0,19.0,43.0,48,0,9,0,0,80,2,91,0,1,0,49,75,0,42,0,0,242,14,298,1,1,0,77,280,750,0.37333333333333335,3.0,62.0,65.0,43.0,0.017711654268508677,0.006612350926909907,0.0015350100366040855,0.0010154681780611642
33,1591,IRON,MISSOURI,10220.0,44.1,36354.0,19270.0,2124.0,20.782778864970645,444.0,260,4.0,1.0,1.0,19.0,1,2,4,1,0,18,1,23,1,0,0,3,15,3,45,1,0,70,5,120,2,0,1,19,54,281,0.19217081850533807,5.0,20.0,25.0,20.0,0.027495107632093934,0.005283757338551859,0.002446183953033268,0.0019569471624266144
34,2807,THROCKMORTON,TEXAS,1520.0,51.3,39438.0,28860.0,199.0,13.092105263157894,22.0,490,1.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,5.0,6.0,2.0,0.0,0.0,0.003947368421052632,0.0013157894736842105
35,2252,PITTSBURG,OKLAHOMA,44643.0,40.8,43601.0,23339.0,7450.0,16.687946598570885,1135.0,385,11.0,1.0,6.0,77.0,43,2,33,2,0,130,7,170,2,0,2,49,95,19,407,4,0,811,92,1310,27,0,8,134,440,2907,0.15135878912968695,12.0,83.0,95.0,78.0,0.06511659162690679,0.009855968460900925,0.0021279931904217906,0.0017471944089778914
36,3140,WASHAKIE,WYOMING,8351.0,43.5,46212.0,26325.0,1198.0,14.345587354807803,304.0,559,3.0,3.0,0.0,21.0,0,0,7,0,0,27,2,36,0,0,0,0,3,0,22,0,0,50,4,76,3,0,0,6,72,164,0.4390243902439024,6.0,21.0,27.0,24.0,0.019638366662675127,0.00862172194946713,0.0032331457310501737,0.002873907316489043
37,799,JOHNSON,INDIANA,147567.0,37.4,63023.0,29877.0,13473.0,9.130090060785946,4188.0,122,22.0,25.0,8.0,215.0,303,0,30,3,0,686,34,750,1,0,6,313,410,3,432,3,0,3610,231,4273,5,0,45,463,2126,9475,0.22437994722955146,47.0,223.0,270.0,240.0,0.06420812241219243,0.014407015118556316,0.0018296773668909716,0.0016263798816808636
