,STATENAME,COUNTYNAME,ADDRESS_CITY,ORI9,agency_name_edit,agency_type_name,civilian_ct,csv_header,data_year,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,ncic_agency_name,ori,pe_ct_per_1000,population,state_abbr,total_pe_ct
0,ALABAMA,MACON,NOTASULGA,AL0460200,NOTASULGA PD,City,3,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,3,0,3,0,4,4,NOTASULGA PD,AL0460200,8.38,835,AL,7
1,ALABAMA,MACON,SHORTER,AL0460600,SHORTER POLICE DEPARTMENT SHORTER,City,3,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,3,0,3,0,3,3,SHORTER POLICE DEPARTMENT SHORTER,AL0460600,14.25,421,AL,6
2,ALABAMA,MACON,TUSKEGEE,AL0460100,TUSKEGEE PD,City,11,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,7,0,7,4,17,21,TUSKEGEE PD,AL0460100,3.25,8623,AL,28
3,ALABAMA,MACON,TUSKEGEE INSTITUTE,AL0460700,TUSKEGEE UNIVERSITY,University or College,14,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,8,4,12,6,6,12,TUSKEGEE UNIVERSITY,AL0460700,,0,AL,24
4,ALABAMA,MACON,TUSKEGEE,AL0460000,MACON CO SO TUSKEGEE,County,23,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,13,1,14,10,11,21,MACON CO SO TUSKEGEE,AL0460000,3.97,8808,AL,35
5,ALABAMA,LAWRENCE,COURTLAND,AL0420300,COURTLAND PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,2,2,COURTLAND PD,AL0420300,3.37,593,AL,2
6,ALABAMA,LAWRENCE,HILLSBORO,AL0420400,HILLSBORO PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,3,3,HILLSBORO PD,AL0420400,5.84,514,AL,3
7,ALABAMA,LAWRENCE,MOULTON,AL0420100,MOULTON PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,11,11,MOULTON PD,AL0420100,3.32,3312,AL,11
8,ALABAMA,LAWRENCE,NORTH COURTLAND,AL0420500,NORTH COURTLAND PD NORTH COURTLNAD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,0,0,NORTH COURTLAND PD NORTH COURTLNAD,AL0420500,0.0,608,AL,0
9,ALABAMA,LAWRENCE,TOWN CREEK,AL0420200,TOWN CREEK PD,City,0,"data_year,ori,state_abbr,agency_name_edit,agency_type_name,ncic_agency_name,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,police_emp_per_1000,total_pe_ct",2016,0,0,0,0,3,3,TOWN CREEK PD,AL0420200,2.84,1058,AL,3
