,STATENAME,COUNTYNAME,ADDRESS_CITY,ORI9
0,ALABAMA,MACON,TUSKEGEE,AL0460400
1,ALABAMA,MACON,NOTASULGA,AL0460200
2,ALABAMA,MACON,SHORTER,AL0460600
3,ALABAMA,MACON,TUSKEGEE,AL0460100
4,ALABAMA,MACON,TUSKEGEE INSTITUTE,AL0460700
5,ALABAMA,MACON,TUSKEGEE,AL0460000
6,ALABAMA,LAWRENCE,COURTLAND,AL0420300
7,ALABAMA,LAWRENCE,HILLSBORO,AL0420400
8,ALABAMA,LAWRENCE,MOULTON,AL0420100
9,ALABAMA,LAWRENCE,NORTH COURTLAND,AL0420500
10,ALABAMA,LAWRENCE,TOWN CREEK,AL0420200
11,ALABAMA,LAWRENCE,MOULTON,AL0420000
12,ALABAMA,CRENSHAW,BRANTLEY,AL0240200
13,ALABAMA,CRENSHAW,DOZIER,AL0240300
14,ALABAMA,CRENSHAW,GLENWOOD,AL0240400
15,ALABAMA,CRENSHAW,LUVERNE,AL0240100
16,ALABAMA,CRENSHAW,LUVERNE,AL0240000
17,ALABAMA,ETOWAH,ALTOONA,AL0310900
18,ALABAMA,ETOWAH,ATTALLA,AL0310100
19,ALABAMA,ETOWAH,BOAZ,AL0311100
20,ALABAMA,ETOWAH,GADSDEN,AL0310200
21,ALABAMA,ETOWAH,GADSDEN,AL0312100
22,ALABAMA,ETOWAH,ATTALLA,ALAST3100
23,ALABAMA,ETOWAH,GLENCOE,AL0310400
24,ALABAMA,ETOWAH,HOKES BLUFF,AL0310600
25,ALABAMA,ETOWAH,RAINBOW CITY,AL0310500
26,ALABAMA,ETOWAH,ATTALLA,AL0312000
27,ALABAMA,ETOWAH,SARDIS CITY,AL0310800
28,ALABAMA,ETOWAH,SOUTHSIDE,AL0310700
29,ALABAMA,ETOWAH,WALNUT GROVE,AL0311000
30,ALABAMA,ETOWAH,GADSDEN,AL0310000
31,ALABAMA,ETOWAH,GADSDEN,AL0312200
32,ALABAMA,COVINGTON,ANDALUSIA,AL0230100
33,ALABAMA,COVINGTON,ANDALUSIA,AL0230800
34,ALABAMA,COVINGTON,FLORALA,AL0230300
35,ALABAMA,COVINGTON,GANTT,AL0230400
36,ALABAMA,COVINGTON,LOCKHART,AL0230600
37,ALABAMA,COVINGTON,OPP,AL0230200
38,ALABAMA,COVINGTON,RED LEVEL,AL0230500
39,ALABAMA,COVINGTON,RIVER FALLS,AL0230700
40,ALABAMA,COVINGTON,ANDALUSIA,AL0230000
41,ALABAMA,BLOUNT,BLOUNTSVILLE,AL0080200
42,ALABAMA,BLOUNT,CLEVELAND,AL0080300
43,ALABAMA,BLOUNT,ONEONTA,AL0080500
44,ALABAMA,BLOUNT,ONEONTA,AL0080100
45,ALABAMA,BLOUNT,SNEAD,AL0080400
46,ALABAMA,BLOUNT,ALTOONA,AL0080600
47,ALABAMA,BLOUNT,ONEONTA,AL0080000
48,ALABAMA,JEFFERSON,ADAMSVILLE,AL0012200
49,ALABAMA,JEFFERSON,ADAMSVILLE,AL0013900
50,ALABAMA,JEFFERSON,BESSEMER,AL0010100
51,ALABAMA,JEFFERSON,BIRMINGHAM,AL0014000
52,ALABAMA,JEFFERSON,BIRMINGHAM,AL0012400
53,ALABAMA,JEFFERSON,BIRMINGHAM,AL0013400
54,ALABAMA,JEFFERSON,BIRMINGHAM,AL0010200
