,STATENAME,COUNTYNAME,ADDRESS_CITY,ORI9,actual,cleared,data_year,offense,ori,state_abbr
0,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090400,14,11,2016,aggravated-assault,NH0090400,NH
1,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090400,2,0,2016,arson,NH0090400,NH
2,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090400,49,13,2016,burglary,NH0090400,NH
3,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090400,1,0,2016,homicide,NH0090400,NH
4,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090400,0,0,2016,human-trafficing,NH0090400,NH
5,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090400,360,64,2016,larceny,NH0090400,NH
6,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090400,8,2,2016,motor-vehicle-theft,NH0090400,NH
7,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090400,417,79,2016,property-crime,NH0090400,NH
8,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090400,28,4,2016,rape,NH0090400,NH
9,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090400,0,0,2016,rape-legacy,NH0090400,NH
10,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090400,4,1,2016,robbery,NH0090400,NH
11,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090400,47,16,2016,violent-crime,NH0090400,NH
12,NEW HAMPSHIRE,STRAFFORD,DURHAM,NH0090600,10,5,2016,aggravated-assault,NH0090600,NH
13,NEW HAMPSHIRE,STRAFFORD,DURHAM,NH0090600,0,0,2016,arson,NH0090600,NH
14,NEW HAMPSHIRE,STRAFFORD,DURHAM,NH0090600,14,3,2016,burglary,NH0090600,NH
15,NEW HAMPSHIRE,STRAFFORD,DURHAM,NH0090600,0,0,2016,homicide,NH0090600,NH
16,NEW HAMPSHIRE,STRAFFORD,DURHAM,NH0090600,0,0,2016,human-trafficing,NH0090600,NH
17,NEW HAMPSHIRE,STRAFFORD,DURHAM,NH0090600,58,4,2016,larceny,NH0090600,NH
18,NEW HAMPSHIRE,STRAFFORD,DURHAM,NH0090600,3,0,2016,motor-vehicle-theft,NH0090600,NH
19,NEW HAMPSHIRE,STRAFFORD,DURHAM,NH0090600,75,7,2016,property-crime,NH0090600,NH
20,NEW HAMPSHIRE,STRAFFORD,DURHAM,NH0090600,8,0,2016,rape,NH0090600,NH
21,NEW HAMPSHIRE,STRAFFORD,DURHAM,NH0090600,0,0,2016,rape-legacy,NH0090600,NH
22,NEW HAMPSHIRE,STRAFFORD,DURHAM,NH0090600,0,0,2016,robbery,NH0090600,NH
23,NEW HAMPSHIRE,STRAFFORD,DURHAM,NH0090600,18,5,2016,violent-crime,NH0090600,NH
24,NEW HAMPSHIRE,STRAFFORD,FARMINGTON,NH0090800,14,7,2016,aggravated-assault,NH0090800,NH
25,NEW HAMPSHIRE,STRAFFORD,FARMINGTON,NH0090800,3,0,2016,arson,NH0090800,NH
26,NEW HAMPSHIRE,STRAFFORD,FARMINGTON,NH0090800,35,0,2016,burglary,NH0090800,NH
27,NEW HAMPSHIRE,STRAFFORD,FARMINGTON,NH0090800,0,0,2016,homicide,NH0090800,NH
28,NEW HAMPSHIRE,STRAFFORD,FARMINGTON,NH0090800,0,0,2016,human-trafficing,NH0090800,NH
29,NEW HAMPSHIRE,STRAFFORD,FARMINGTON,NH0090800,65,6,2016,larceny,NH0090800,NH
30,NEW HAMPSHIRE,STRAFFORD,FARMINGTON,NH0090800,12,3,2016,motor-vehicle-theft,NH0090800,NH
31,NEW HAMPSHIRE,STRAFFORD,FARMINGTON,NH0090800,112,9,2016,property-crime,NH0090800,NH
32,NEW HAMPSHIRE,STRAFFORD,FARMINGTON,NH0090800,2,0,2016,rape,NH0090800,NH
33,NEW HAMPSHIRE,STRAFFORD,FARMINGTON,NH0090800,0,0,2016,rape-legacy,NH0090800,NH
34,NEW HAMPSHIRE,STRAFFORD,FARMINGTON,NH0090800,3,1,2016,robbery,NH0090800,NH
35,NEW HAMPSHIRE,STRAFFORD,FARMINGTON,NH0090800,19,8,2016,violent-crime,NH0090800,NH
36,NEW HAMPSHIRE,STRAFFORD,LEE,NH0091000,1,0,2016,aggravated-assault,NH0091000,NH
37,NEW HAMPSHIRE,STRAFFORD,LEE,NH0091000,0,0,2016,arson,NH0091000,NH
38,NEW HAMPSHIRE,STRAFFORD,LEE,NH0091000,9,2,2016,burglary,NH0091000,NH
39,NEW HAMPSHIRE,STRAFFORD,LEE,NH0091000,0,0,2016,homicide,NH0091000,NH
40,NEW HAMPSHIRE,STRAFFORD,LEE,NH0091000,0,0,2016,human-trafficing,NH0091000,NH
41,NEW HAMPSHIRE,STRAFFORD,LEE,NH0091000,35,8,2016,larceny,NH0091000,NH
42,NEW HAMPSHIRE,STRAFFORD,LEE,NH0091000,0,0,2016,motor-vehicle-theft,NH0091000,NH
43,NEW HAMPSHIRE,STRAFFORD,LEE,NH0091000,44,10,2016,property-crime,NH0091000,NH
44,NEW HAMPSHIRE,STRAFFORD,LEE,NH0091000,0,0,2016,rape,NH0091000,NH
45,NEW HAMPSHIRE,STRAFFORD,LEE,NH0091000,0,0,2016,rape-legacy,NH0091000,NH
46,NEW HAMPSHIRE,STRAFFORD,LEE,NH0091000,0,0,2016,robbery,NH0091000,NH
47,NEW HAMPSHIRE,STRAFFORD,LEE,NH0091000,1,0,2016,violent-crime,NH0091000,NH
48,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,4,2,2016,aggravated-assault,NH0091400,NH
49,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,0,0,2016,arson,NH0091400,NH
50,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,7,0,2016,burglary,NH0091400,NH
51,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,0,0,2016,homicide,NH0091400,NH
52,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,0,0,2016,human-trafficing,NH0091400,NH
53,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,12,1,2016,larceny,NH0091400,NH
54,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,2,0,2016,motor-vehicle-theft,NH0091400,NH
