County,crimes commited,cleared crimes
"BLOUNT, ALABAMA",3310,597
"BUTLER, ALABAMA",1349,529
"CHILTON, ALABAMA",2946,648
"COVINGTON, ALABAMA",1872,874
"CRENSHAW, ALABAMA",366,50
"ETOWAH, ALABAMA",8631,1031
"HENRY, ALABAMA",541,104
"JEFFERSON, ALABAMA",61497,9133
"LAWRENCE, ALABAMA",977,189
"MACON, ALABAMA",1405,64
"MARICOPA, ARIZONA",292058,55085
"PIMA, ARIZONA",97826,14305
"RANDOLPH, ALABAMA",942,170
"SANTA CRUZ, ARIZONA",1536,562
"SUMTER, ALABAMA",257,26
"WRANGELL CITY AND BOROUGH, ALASKA",42,12
