PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
AK,11260,"Anchorage, AK",33-1012,First-Line Supervisors of Police and Detectives,detailed,150,6.5,0.871,1.22,52.64,"109,490",2.9,33.00,47.76,54.35,60.18,64.81,"68,640","99,330","113,050","125,180","134,800",,
AK,11260,"Anchorage, AK",33-3051,Police and Sheriff's Patrol Officers,detailed,570,7.7,3.228,0.69,38.75,"80,600",3.5,26.68,33.00,40.83,45.52,48.62,"55,490","68,630","84,930","94,690","101,120",,
AK,21820,"Fairbanks, AK",33-3051,Police and Sheriff's Patrol Officers,detailed,100,0.0,2.783,0.59,35.90,"74,660",2.7,25.26,29.48,35.32,42.14,47.42,"52,540","61,320","73,460","87,660","98,620",,
AL,11500,"Anniston-Oxford-Jacksonville, AL",33-1012,First-Line Supervisors of Police and Detectives,detailed,50,35.0,1.106,1.55,30.42,"63,270",2.5,20.77,23.94,29.23,36.86,43.77,"43,200","49,800","60,810","76,670","91,030",,
AL,11500,"Anniston-Oxford-Jacksonville, AL",33-3012,Correctional Officers and Jailers,detailed,100,40.8,2.535,0.82,13.55,"28,190",6.2,9.54,10.74,12.79,14.77,18.96,"19,850","22,340","26,610","30,720","39,440",,
AL,11500,"Anniston-Oxford-Jacksonville, AL",33-3051,Police and Sheriff's Patrol Officers,detailed,270,15.6,6.545,1.40,19.43,"40,410",3.5,15.55,16.62,18.39,21.43,24.45,"32,340","34,570","38,250","44,570","50,850",,
AL,12220,"Auburn-Opelika, AL",33-3051,Police and Sheriff's Patrol Officers,detailed,170,10.7,3.192,0.68,19.52,"40,600",2.8,15.72,16.73,18.41,21.78,26.16,"32,690","34,790","38,300","45,310","54,420",,
AL,13820,"Birmingham-Hoover, AL",33-1012,First-Line Supervisors of Police and Detectives,detailed,280,13.6,0.553,0.77,35.72,"74,310",3.4,18.06,23.34,34.50,45.44,58.45,"37,560","48,540","71,770","94,520","121,570",,
AL,13820,"Birmingham-Hoover, AL",33-3012,Correctional Officers and Jailers,detailed,"1,070",2.9,2.127,0.69,18.05,"37,530",1.8,12.83,15.21,17.49,20.87,25.14,"26,680","31,650","36,380","43,410","52,290",,
AL,13820,"Birmingham-Hoover, AL",33-3021,Detectives and Criminal Investigators,detailed,220,1.9,0.444,0.59,35.37,"73,570",8.2,18.56,22.56,30.40,50.75,60.89,"38,600","46,920","63,230","105,550","126,660",,
AL,13820,"Birmingham-Hoover, AL",33-3051,Police and Sheriff's Patrol Officers,detailed,"2,950",3.8,5.842,1.25,23.51,"48,900",2.4,14.96,18.30,23.85,28.43,31.53,"31,120","38,070","49,610","59,130","65,580",,
AL,13820,"Birmingham-Hoover, AL",33-9021,Private Detectives and Investigators,detailed,70,17.5,0.139,0.68,23.99,"49,900",12.4,10.32,11.58,17.23,35.05,49.38,"21,470","24,090","35,850","72,900","102,700",,
AL,19300,"Daphne-Fairhope-Foley, AL",33-1012,First-Line Supervisors of Police and Detectives,detailed,50,9.6,0.667,0.93,33.92,"70,550",2.4,24.91,28.42,33.37,38.59,45.80,"51,820","59,120","69,410","80,260","95,270",,
