,State,City,Job Title,Number of Employees,Jobs (per 1000),Mean Hourly Wage,Mean Annual Wage,Median Hourly Wage,Annual Median Wage
0, AK,Anchorage,First-Line Supervisors of Police and Detectives,150,0.871,52.64,"109,490",54.35,"113,050"
1, AK,Anchorage,Police and Sheriff's Patrol Officers,570,3.228,38.75,"80,600",40.83,"84,930"
2, AK,Fairbanks,Police and Sheriff's Patrol Officers,100,2.783,35.90,"74,660",35.32,"73,460"
3, AL,Anniston-Oxford-Jacksonville,First-Line Supervisors of Police and Detectives,50,1.106,30.42,"63,270",29.23,"60,810"
4, AL,Anniston-Oxford-Jacksonville,Correctional Officers and Jailers,100,2.535,13.55,"28,190",12.79,"26,610"
5, AL,Anniston-Oxford-Jacksonville,Police and Sheriff's Patrol Officers,270,6.545,19.43,"40,410",18.39,"38,250"
6, AL,Auburn-Opelika,Police and Sheriff's Patrol Officers,170,3.192,19.52,"40,600",18.41,"38,300"
7, AL,Birmingham-Hoover,First-Line Supervisors of Police and Detectives,280,0.553,35.72,"74,310",34.50,"71,770"
8, AL,Birmingham-Hoover,Correctional Officers and Jailers,"1,070",2.127,18.05,"37,530",17.49,"36,380"
9, AL,Birmingham-Hoover,Detectives and Criminal Investigators,220,0.444,35.37,"73,570",30.40,"63,230"
10, AL,Birmingham-Hoover,Police and Sheriff's Patrol Officers,"2,950",5.842,23.51,"48,900",23.85,"49,610"
11, AL,Birmingham-Hoover,Private Detectives and Investigators,70,0.139,23.99,"49,900",17.23,"35,850"
12, AL,Daphne-Fairhope-Foley,First-Line Supervisors of Police and Detectives,50,0.667,33.92,"70,550",33.37,"69,410"
13, AL,Daphne-Fairhope-Foley,Correctional Officers and Jailers,140,1.962,17.20,"35,770",16.98,"35,320"
14, AL,Daphne-Fairhope-Foley,Detectives and Criminal Investigators,90,1.304,23.24,"48,340",22.39,"46,580"
15, AL,Daphne-Fairhope-Foley,Police and Sheriff's Patrol Officers,350,4.992,22.44,"46,660",21.86,"45,470"
16, AL,Decatur,First-Line Supervisors of Police and Detectives,60,1.084,29.82,"62,030",28.28,"58,820"
17, AL,Decatur,Correctional Officers and Jailers,200,3.736,15.40,"32,030",14.88,"30,950"
18, AL,Decatur,Detectives and Criminal Investigators,70,1.250,22.26,"46,290",21.87,"45,480"
19, AL,Decatur,Police and Sheriff's Patrol Officers,290,5.499,*,*,*,*
20, AL,Dothan,Correctional Officers and Jailers,160,2.865,14.75,"30,680",14.09,"29,300"
21, AL,Dothan,Police and Sheriff's Patrol Officers,400,7.099,18.54,"38,570",17.41,"36,210"
22, AL,Florence-Muscle Shoals,Police and Sheriff's Patrol Officers,260,4.927,18.73,"38,960",18.91,"39,330"
23, AL,Gadsden,First-Line Supervisors of Police and Detectives,40,1.076,25.95,"53,970",27.22,"56,610"
24, AL,Gadsden,Police and Sheriff's Patrol Officers,260,7.281,16.62,"34,560",16.30,"33,910"
25, AL,Huntsville,First-Line Supervisors of Police and Detectives,60,0.274,40.90,"85,080",36.51,"75,950"
26, AL,Huntsville,Correctional Officers and Jailers,470,2.174,16.97,"35,300",16.80,"34,940"
27, AL,Huntsville,Detectives and Criminal Investigators,170,0.757,43.50,"90,490",38.01,"79,070"
28, AL,Huntsville,Police and Sheriff's Patrol Officers,790,3.611,23.16,"48,170",22.70,"47,220"
29, AL,Huntsville,Private Detectives and Investigators,30,0.144,34.37,"71,480",32.77,"68,170"
30, AL,Mobile,First-Line Supervisors of Police and Detectives,140,0.827,28.92,"60,160",25.13,"52,270"
31, AL,Mobile,Detectives and Criminal Investigators,180,1.031,30.74,"63,940",20.61,"42,860"
32, AL,Mobile,Police and Sheriff's Patrol Officers,850,4.884,17.25,"35,880",16.72,"34,770"
33, AL,Montgomery,First-Line Supervisors of Police and Detectives,80,0.482,36.88,"76,710",34.52,"71,800"
34, AL,Montgomery,Correctional Officers and Jailers,"1,120",6.792,17.08,"35,520",16.88,"35,110"
35, AL,Montgomery,Detectives and Criminal Investigators,210,1.287,30.22,"62,860",26.42,"54,950"
36, AL,Montgomery,Police and Sheriff's Patrol Officers,"1,020",6.208,21.59,"44,910",21.60,"44,920"
37, AL,Tuscaloosa,First-Line Supervisors of Police and Detectives,60,0.578,32.38,"67,350",32.03,"66,610"
38, AL,Tuscaloosa,Correctional Officers and Jailers,230,2.288,19.46,"40,470",19.50,"40,560"
39, AL,Tuscaloosa,Police and Sheriff's Patrol Officers,640,6.429,24.96,"51,920",24.86,"51,700"
40, AR-MO,Fayetteville-Springdale-Rogers,First-Line Supervisors of Police and Detectives,240,1.009,28.72,"59,740",27.44,"57,080"
41, AR-MO,Fayetteville-Springdale-Rogers,Correctional Officers and Jailers,320,1.379,17.79,"37,000",17.53,"36,460"
42, AR-MO,Fayetteville-Springdale-Rogers,Detectives and Criminal Investigators,80,0.340,29.04,"60,410",22.64,"47,090"
43, AR-MO,Fayetteville-Springdale-Rogers,Police and Sheriff's Patrol Officers,860,3.694,19.10,"39,730",18.47,"38,420"
44, AR-OK,Fort Smith,First-Line Supervisors of Police and Detectives,100,0.952,27.95,"58,130",26.39,"54,890"
45, AR-OK,Fort Smith,Correctional Officers and Jailers,270,2.418,13.17,"27,400",13.30,"27,660"
46, AR-OK,Fort Smith,Detectives and Criminal Investigators,40,0.322,30.23,"62,870",19.27,"40,090"
47, AR-OK,Fort Smith,Police and Sheriff's Patrol Officers,620,5.642,16.66,"34,660",16.21,"33,720"
48, AR,Hot Springs,First-Line Supervisors of Police and Detectives,40,1.187,26.76,"55,660",27.27,"56,710"
49, AR,Hot Springs,Police and Sheriff's Patrol Officers,150,4.273,19.45,"40,450",19.70,"40,980"
50, AR,Jonesboro,First-Line Supervisors of Police and Detectives,60,1.185,24.77,"51,530",23.93,"49,780"
51, AR,Jonesboro,Police and Sheriff's Patrol Officers,300,5.605,17.46,"36,320",17.56,"36,520"
52, AR,Little Rock-North Little Rock-Conway,First-Line Supervisors of Police and Detectives,440,1.303,29.59,"61,540",29.70,"61,780"
53, AR,Little Rock-North Little Rock-Conway,Correctional Officers and Jailers,760,2.226,16.07,"33,430",16.37,"34,050"
54, AR,Little Rock-North Little Rock-Conway,Detectives and Criminal Investigators,220,0.656,31.11,"64,710",21.75,"45,230"
55, AR,Little Rock-North Little Rock-Conway,Police and Sheriff's Patrol Officers,"1,630",4.786,21.33,"44,360",21.30,"44,290"
56, AR,Pine Bluff,First-Line Supervisors of Police and Detectives,30,1.003,25.22,"52,470",23.40,"48,680"
57, AR,Pine Bluff,Correctional Officers and Jailers,"1,410",45.868,16.91,"35,160",16.78,"34,900"
58, AR,Pine Bluff,Police and Sheriff's Patrol Officers,220,7.292,21.03,"43,740",21.35,"44,410"
59, AZ,Flagstaff,First-Line Supervisors of Police and Detectives,90,1.371,37.48,"77,950",35.52,"73,880"
60, AZ,Flagstaff,Correctional Officers and Jailers,90,1.398,18.16,"37,770",17.63,"36,670"
61, AZ,Flagstaff,Detectives and Criminal Investigators,70,1.058,33.77,"70,240",32.41,"67,420"
62, AZ,Flagstaff,Police and Sheriff's Patrol Officers,250,3.954,26.94,"56,030",25.32,"52,660"
63, AZ,Lake Havasu City-Kingman,First-Line Supervisors of Police and Detectives,60,1.185,40.32,"83,860",38.06,"79,160"
