,Civilian labor force,,,,Unemployed,,,,,,,
,November,,December,,Number,,,,Percent of labor force,,,
,2015,2016,2015,2016(P),November,,December,,November,,December,
"State, area, and division",,,,,2015,2016,2015,2016(P),2015,2016,2015,2016(P)
California,"18,995,979","19,357,095","18,993,947","19,192,788","1,101,576","976,630","1,088,835","964,217",5.8,5,5.7,5
Los Angeles-Long Beach-Anaheim,"6,600,183","6,744,258","6,600,592","6,691,537","360,349","306,975","349,329","296,840",5.5,4.6,5.3,4.4
Anaheim-Santa Ana-Irvine,"1,605,797","1,635,008","1,608,935","1,620,416","68,804","60,482","65,188","56,923",4.3,3.7,4.1,3.5
Los Angeles-Long Beach-Glendale,"4,994,386","5,109,250","4,991,657","5,071,121","291,545","246,493","284,141","239,917",5.8,4.8,5.7,4.7
San Francisco-Oakland-Hayward,"2,516,938","2,566,276","2,524,701","2,548,157","101,472","91,386","97,280","86,667",4,3.6,3.9,3.4
Oakland-Hayward-Berkeley,"1,378,356","1,402,557","1,380,854","1,392,588","63,326","56,572","60,676","53,773",4.6,4,4.4,3.9
San Francisco-Redwood City-South San Francisco,"997,223","1,018,723","1,001,873","1,011,179","33,362","30,420","32,013","28,716",3.3,3,3.2,2.8
San Rafael,"141,359","144,996","141,974","144,390","4,784","4,394","4,591","4,178",3.4,3,3.2,2.9
District of Columbia,"391,291","399,375","389,975","397,720","25,845","23,336","24,753","21,607",6.6,5.8,6.3,5.4
Washington-Arlington-Alexandria(2),"3,293,304","3,337,179","3,285,388","3,347,490","133,738","123,585","128,240","115,345",4.1,3.7,3.9,3.4
Silver Spring-Frederick-Rockville(3),"680,670","687,660","677,087","688,106","26,113","21,872","23,638","19,637",3.8,3.2,3.5,2.9
Washington-Arlington-Alexandria(2),"2,612,634","2,649,519","2,608,301","2,659,384","107,625","101,713","104,602","95,708",4.1,3.8,4,3.6
Florida,"9,685,448","9,895,322","9,703,956","9,922,037","480,189","480,400","464,062","465,862",5,4.9,4.8,4.7
Miami-Fort Lauderdale-West Palm Beach,"3,034,541","3,081,280","3,037,750","3,093,910","154,221","149,793","152,805","150,569",5.1,4.9,5,4.9
