State,State and area,Civilian labor force Dec 2016,Unemployed Dec 2016,Percent of labor force Dec 2016
Alabama,Alabama,"2,180,260","129,295",5.9
Alabama,Anniston-Oxford-Jacksonville,"45,697","3,060",6.7
Alabama,Auburn-Opelika,"74,173","3,787",5.1
Alabama,Birmingham-Hoover,"539,602","29,510",5.5
Alabama,Daphne-Fairhope-Foley,"88,991","5,005",5.6
Alabama,Decatur,"68,926","3,946",5.7
Alabama,Dothan,"62,734","3,715",5.9
Alabama,Florence-Muscle Shoals,"67,008","4,358",6.5
Alabama,Gadsden,"44,184","2,579",5.8
Alabama,Huntsville,"216,854","11,090",5.1
Alabama,Mobile,"186,248","13,169",7.1
Alabama,Montgomery,"171,896","9,675",5.6
Alabama,Tuscaloosa,"113,924","6,677",5.9
Alaska,Alaska,"355,793","23,311",6.6
Alaska,Anchorage,"205,097","11,788",5.7
Alaska,Fairbanks,"46,043","2,642",5.7
Arizona,Arizona,"3,261,413","152,384",4.7
Arizona,Flagstaff,"73,675","4,423",6
Arizona,Lake Havasu City-Kingman,"79,723","4,691",5.9
Arizona,Phoenix-Mesa-Scottsdale,"2,267,300","91,917",4.1
Arizona,Prescott,"99,101","4,336",4.4
Arizona,Sierra Vista-Douglas,"49,990","2,668",5.3
Arizona,Tucson,"471,747","20,577",4.4
Arizona,Yuma,"92,947","14,063",15.1
Arkansas,Arkansas,"1,327,109","50,559",3.8
Arkansas,Fayetteville-Springdale-Rogers,"262,250","6,952",2.7
Arkansas,Fort Smith,"119,853","5,159",4.3
Arkansas,Hot Springs,"39,037","1,711",4.4
Arkansas,Jonesboro,"61,919","1,981",3.2
Arkansas,Little Rock-North Little Rock-Conway,"345,345","11,532",3.3
Arkansas,Pine Bluff,"35,564","1,812",5.1
California,California,"19,098,452","957,110",5
California,Bakersfield,"382,246","38,829",10.2
California,Chico,"102,988","6,323",6.1
California,El Centro,"75,157","15,694",20.9
California,Fresno,"440,850","41,467",9.4
California,Hanford-Corcoran,"55,927","5,728",10.2
California,Los Angeles-Long Beach-Anaheim,"6,647,478","293,940",4.4
California,Madera,"61,015","5,701",9.3
California,Merced,"114,574","12,301",10.7
California,Modesto,"243,650","19,949",8.2
California,Napa,"70,914","3,292",4.6
California,Oxnard-Thousand Oaks-Ventura,"429,340","20,671",4.8
California,Redding,"74,380","4,868",6.5
California,Riverside-San Bernardino-Ontario,"2,009,477","103,319",5.1
California,Sacramento--Roseville--Arden-Arcade,"1,071,834","51,644",4.8
California,Salinas,"210,220","20,758",9.9
California,San Diego-Carlsbad,"1,569,145","64,919",4.1
California,San Francisco-Oakland-Hayward,"2,557,905","85,906",3.4
California,San Jose-Sunnyvale-Santa Clara,"1,060,493","36,221",3.4
California,San Luis Obispo-Paso Robles-Arroyo Grande,"137,288","5,396",3.9
California,Santa Cruz-Watsonville,"142,466","10,710",7.5
California,Santa Maria-Santa Barbara,"214,659","11,587",5.4
California,Santa Rosa,"259,109","9,412",3.6
California,Stockton-Lodi,"317,457","24,858",7.8
California,Vallejo-Fairfield,"208,152","10,612",5.1
California,Visalia-Porterville,"203,316","23,200",11.4
California,Yuba City,"73,578","6,950",9.4
Colorado,Colorado,"2,892,195","78,247",2.7
Colorado,Boulder,"181,547","3,896",2.1
Colorado,Colorado Springs,"326,501","10,071",3.1
Colorado,Denver-Aurora-Lakewood,"1,541,096","39,728",2.6
Colorado,Fort Collins,"188,247","4,299",2.3
Colorado,Grand Junction,"70,993","3,157",4.4
Colorado,Greeley,"149,679","3,990",2.7
Colorado,Pueblo,"73,107","2,958",4
Connecticut,Connecticut,"1,875,808","73,548",3.9
Connecticut,Bridgeport-Stamford-Norwalk,"462,999","18,020",3.9
Connecticut,Danbury,"107,401","3,476",3.2
Connecticut,Hartford-West Hartford-East Hartford,"610,370","23,881",3.9
Connecticut,New Haven,"320,742","12,317",3.8
Connecticut,Norwich-New London-Westerly,"141,064","5,753",4.1
Connecticut,Waterbury,"109,752","5,349",4.9
Delaware,Delaware,"470,318","18,141",3.9
Delaware,Dover,"77,345","3,128",4
Delaware,Salisbury(1),"179,060","11,075",6.2
District of Columbia,District of Columbia,"392,765","21,456",5.5
District of Columbia,Washington-Arlington-Alexandria,"3,322,085","115,190",3.5
Florida,Florida,"9,909,607","467,212",4.7
Florida,Cape Coral-Fort Myers,"331,666","14,585",4.4
Florida,Crestview-Fort Walton Beach-Destin,"119,508","4,892",4.1
Florida,Deltona-Daytona Beach-Ormond Beach,"289,551","14,815",5.1
Florida,Gainesville,"139,882","5,775",4.1
Florida,Homosassa Springs,"47,266","3,142",6.6
Florida,Jacksonville,"736,680","33,268",4.5
Florida,Lakeland-Winter Haven,"287,843","15,541",5.4
Florida,Miami-Fort Lauderdale-West Palm Beach,"3,089,811","150,855",4.9
Florida,Naples-Immokalee-Marco Island,"169,079","7,615",4.5
Florida,North Port-Sarasota-Bradenton,"354,821","15,495",4.4
Florida,Ocala,"134,249","7,534",5.6
Florida,Orlando-Kissimmee-Sanford,"1,262,321","54,572",4.3
Florida,Palm Bay-Melbourne-Titusville,"263,029","12,815",4.9
Florida,Panama City,"91,788","4,735",5.2
Florida,Pensacola-Ferry Pass-Brent,"215,477","10,086",4.7
Florida,Port St. Lucie,"207,678","10,628",5.1
Florida,Punta Gorda,"70,317","3,529",5
Florida,Sebastian-Vero Beach,"63,610","3,647",5.7
Florida,Sebring,"37,265","2,309",6.2
Florida,Tallahassee,"189,659","8,549",4.5
Florida,Tampa-St. Petersburg-Clearwater,"1,486,311","66,335",4.5
Florida,The Villages,"29,433","1,998",6.8
Georgia,Georgia,"4,981,511","258,411",5.2
Georgia,Albany,"67,860","4,085",6
Georgia,Athens-Clarke County,"96,572","4,844",5
Georgia,Atlanta-Sandy Springs-Roswell,"2,985,227","147,899",5
Georgia,Augusta-Richmond County,"264,851","13,584",5.1
